FID,Shape,Nama Kelom,Nama,Alamat Len,Kategori P,Status Pro,Harga Prop,Luas Bangu,Luas Tanah,Jenis Sert,Dokumentas,NTL,KEP2025,EKON2025,Dekat Exit Tol,Bandar Udara,Kebun/Perkebunan,Permukiman Perdesaan,Permukiman Perkotaan,Permukiman Semi Desa,Rumput/Tanah Kosong,Sawah irigasi,Tegalan/Ladang,Rasio Luas Bangunan,LatLong,Latitude,Longitude
33,Point,Propix,Mataram City Yogyakarta (MICC),"Jl. Palagan Tentara Pelajar No.KM. 7, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Apartemen,Jual,750000000,37.0,37.0,Sertifikat Hak Guna Bangunan (SHGB),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741846077076_img_%25e_%25e13a3e72-f06d-466b-a454-67630a7f7485.jpeg,Tinggi,Sedang,Tinggi,Tidak,0.0,0.0,0.0,0.33,0.5,0.06,0.11,0.0,1.0,"-7.7390770933438, 110.3773135865053",-7.7390770933438, 110.3773135865053
34,Point,Propix,Ruko Monjali,"Jl. Monumen Jogja Kembali No.31, Nandan, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",Ruko,Jual,3900000000,280.0,194.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742134395937_img_%25a_%2569a27858-857b-44b5-8a26-092e6fac04af.jpeg,Tinggi,Sedang,Tinggi,Tidak,0.0,0.0,0.0,0.83,0.22,0.0,0.0,0.0,1.443298969072165,"-7.7536291,110.3703001",-7.7536291,110.3703001
35,Point,Propix,Patra Residence Palagan,"Jl. Palagan Tentara Pelajar No.Km 10, Tambak Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Rumah,Jual,4390499999,180.0,200.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742536128953_img_%25b_%2503d0879d-8e73-4149-b766-6b160edb205b.jpeg,Sedang,Sedang,Tinggi,Tidak,0.0,0.0,0.0,0.0,0.39,0.0,0.61,0.0,0.9,"-7.7129074,110.3834002",-7.7129074,110.3834002
36,Point,Propix,Sofia Residence,"Ngetiran, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Rumah,Jual,1370000000,120.0,94.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742535996621_img_%25a_%2596f4e5a2-85c0-4c08-8107-d4284b10d0f2.jpeg,Sedang,Sedang,Tinggi,Tidak,0.0,0.0,0.0,0.0,0.39,0.0,0.61,0.0,1.2765957446808511,"-7.7111732,110.3814846",-7.7111732,110.3814846
37,Point,Propix,Ruko Indomaret,"Jl. Kaliurang No.15, Gondangan, Sardonoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Ruko,Jual,3899999998,250.0,369.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742115622724_img_%25a_%2562788bbe-af20-4ee3-8e1e-fa8c1b75375b.jpeg,Sedang,Sedang,Tinggi,Tidak,0.0,0.06,0.0,0.0,0.61,0.0,0.44,0.0,0.6775067750677507,"-7.7216556,110.4027344",-7.7216556,110.4027344
38,Point,Propix,Ruko Jakal,"Jl. Kaliurang Prujakan KM 8, Tambakan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283",Ruko,Jual,3100000000,150.0,196.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742010338344_img_%25c_%259ba0be42-1c57-49bd-831e-a7540e589a21.jpeg,Sedang,Sedang,Tinggi,Tidak,0.0,0.0,0.0,0.0,0.78,0.0,0.17,0.0,0.7653061224489796,"-7.7370032,110.3910959",-7.7370032,110.3910959
39,Point,Propix,Pastika Palagan Residence 3 Blok A1,"Jl. Palagan Tentara Pelajar Jl. Sadewa, Tegal Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Rumah,Jual,1500000000,110.0,125.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742009721182_img_%25b_%259a79c496-3910-4828-a89c-8c4406859c2c.jpeg,Sedang,Sedang,Tinggi,Tidak,0.0,0.0,0.0,0.06,0.5,0.0,0.39,0.0,0.88,"-7.7251477,110.3803568",-7.7251477,110.3803568
40,Point,Propix,Rumah Griya Ayem,"Losari, Sukoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Rumah,Jual,1288000000,95.0,147.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741904619382_img_%25a_%25a39b2268-8da6-4281-ad81-046ef8ad75b4.jpeg,Sedang,Sedang,Tinggi,Tidak,0.0,0.06,0.17,0.06,0.39,0.0,0.33,0.11,0.6462585034013606,"-7.694735811750389, 110.4294158423298",-7.694735811750389, 110.4294158423298
41,Point,Propix,Green Hills Residence,"Green Hills Residence, Drono, Sardonoharjo, Kec. Ngaglik, Yogyakarta, Daerah Istimewa Yogyakarta 55581",Rumah,Jual,2600000000,176.0,185.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741847065199_img_%25e_%25720f68dd-8e4c-4858-abe0-12581886df39.jpeg,Sedang,Sedang,Tinggi,Tidak,0.0,0.0,0.0,0.0,0.56,0.0,0.33,0.0,0.9513513513513514,"-7.722107767169167, 110.39133198547654",-7.722107767169167, 110.39133198547654
42,Point,Propix,Pastika Palagan Residence,"Jl. Sadewa Palagan Tentara Pelajar KM 7,8, Tegal Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Rumah,Jual,1200000000,110.0,125.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741846574314_img_%25d_%254b0ac507-41a0-42cd-9f38-2dbedb5a9cd1.jpeg,Sedang,Sedang,Tinggi,Tidak,0.0,0.0,0.0,0.11,0.5,0.0,0.28,0.0,0.88,"-7.728911163300157, 110.37842829942511",-7.728911163300157, 110.37842829942511
43,Point,Propix,Abiyya Town House,"Abiyya Town House, Jl. Kaliurang Jl. Bias, Gadingan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Rumah,Jual,190000000,25.0,25.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741846318150_img_%25a_%25160b62e8-7caf-4873-8812-b720defd0328.jpeg,Sedang,Sedang,Tinggi,Tidak,0.0,0.0,0.0,0.0,0.44,0.0,0.56,0.0,1.0,"-7.712783121590344, 110.40560544417549",-7.712783121590344, 110.40560544417549
