FID;Shape;Nama Kelom;Nama Prope;Alamat Len;Kategori P;Status Pro;Harga Prop;Luas Bangu;Luas Tanah;Jenis Sert;Dokumentas;NTL;KEP2025;EKON2025;Dekat Exit Tol;Bandar Udara;Kebun/Perkebunan;Permukiman Perdesaan;Permukiman Perkotaan;Permukiman Semi Desa;Rumput/Tanah Kosong;Sawah irigasi;Tegalan/Ladang
36;Point;Propix;Sofia Residence;Ngetiran, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581;Rumah;Jual;1370000000;120;94;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742535996621_img_%25a_%2596f4e5a2-85c0-4c08-8107-d4284b10d0f2.jpeg;Sedang;Sedang;Tinggi;Tidak;0%;0%;0%;0%;39%;0%;61%;0%
37;Point;Propix;Ruko Indomaret;Jl. Kaliurang No.15, Gondangan, Sardonoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581;Ruko;Jual;3899999998;250;369;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742115622724_img_%25a_%2562788bbe-af20-4ee3-8e1e-fa8c1b75375b.jpeg;Sedang;Sedang;Tinggi;Tidak;0%;6%;0%;0%;61%;0%;44%;0%
38;Point;Propix;Ruko Jakal;Jl. Kaliurang Prujakan KM 8, Tambakan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283;Ruko;Jual;3100000000;150;196;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742010338344_img_%25c_%259ba0be42-1c57-49bd-831e-a7540e589a21.jpeg;Sedang;Sedang;Tinggi;Tidak;0%;0%;0%;0%;78%;0%;17%;0%
39;Point;Propix;Pastika Palagan Residence 3 Blok A1;Jl. Palagan Tentara Pelajar Jl. Sadewa, Tegal Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581;Rumah;Jual;1500000000;110;125;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742009721182_img_%25b_%259a79c496-3910-4828-a89c-8c4406859c2c.jpeg;Sedang;Sedang;Tinggi;Tidak;0%;0%;0%;6%;50%;0%;39%;0%
40;Point;Propix;Rumah Griya Ayem;Losari, Sukoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta;Rumah;Jual;1288000000;95;147;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741904619382_img_%25a_%25a39b2268-8da6-4281-ad81-046ef8ad75b4.jpeg;Sedang;Sedang;Tinggi;Tidak;0%;6%;17%;6%;39%;0%;33%;11%
41;Point;Propix;Green Hills Residence;Green Hills Residence, Drono, Sardonoharjo, Kec. Ngaglik, Yogyakarta, Daerah Istimewa Yogyakarta 55581;Rumah;Jual;2600000000;176;185;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741847065199_img_%25e_%25720f68dd-8e4c-4858-abe0-12581886df39.jpeg;Sedang;Sedang;Tinggi;Tidak;0%;0%;0%;0%;56%;0%;33%;0%
42;Point;Propix;Pastika Palagan Residence;Jl. Sadewa Palagan Tentara Pelajar KM 7,8, Tegal Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581;Rumah;Jual;1200000000;110;125;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741846574314_img_%25d_%254b0ac507-41a0-42cd-9f38-2dbedb5a9cd1.jpeg;Sedang;Sedang;Tinggi;Tidak;0%;0%;0%;11%;50%;0%;28%;0%
43;Point;Propix;Abiyya Town House;Abiyya Town House, Jl. Kaliurang Jl. Bias, Gadingan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581;Rumah;Jual;190000000;25;25;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741846318150_img_%25a_%25160b62e8-7caf-4873-8812-b720defd0328.jpeg;Sedang;Sedang;Tinggi;Tidak;0%;0%;0%;0%;44%;0%;56%;0%
44;Point;Propix;Rumah Jl Palagan;Jl. Randugowang Utama, Tegal Weru, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;Rumah;Jual;888000000;68;92;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741843988290_img_%25b_%25bf146766-a757-4c35-8cdf-282415cb6cd6.jpeg;Sedang;Sedang;Tinggi;Tidak;0%;0%;0%;0%;50%;0%;50%;0%
45;Point;Propix;Rumah Ngaglik;Besi, Sukoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta;Rumah;Jual;535000000;36;80;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1741772414703_img_%25c.jpg_%25eeb734a3-c65f-499e-a384-4a63ebd28905.jpeg;Sedang;Sedang;Tinggi;Tidak;0%;0%;6%;0%;56%;0%;44%;0%
46;Point;Propix;Ruko/Kantor Jamal;Jl. Magelang - Yogyakarta Jl. Murangan VII No.KM.13,5, Panggeran 7, Triharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55514;Ruko;Jual;3297000000;498;328;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742115309100_img_%25a_%25eb9c15eb-2881-4270-8ba3-614a491e37d6.jpeg;Sedang;Sedang;Tinggi;Tidak;0%;6%;22%;0%;44%;0%;22%;0%
